event,num_images,total_gt,tp,fp,fn,precision,recall,f1
Matador_Bullfighter,61,1064,170,66,894,0.7203,0.1598,0.2615
Basketball,131,3586,793,212,2793,0.7891,0.2211,0.3455
Festival,45,1033,281,101,752,0.7356,0.272,0.3972
Traffic,19,272,76,30,196,0.717,0.2794,0.4021
Baseball,24,105,34,9,71,0.7907,0.3238,0.4595
Shoppers,42,273,89,47,184,0.6544,0.326,0.4352
Car_Accident,49,465,157,85,308,0.6488,0.3376,0.4441
Demonstration,249,9049,3293,657,5756,0.8337,0.3639,0.5067
Parade,115,3753,1425,288,2328,0.8319,0.3797,0.5214
Football,42,658,252,66,406,0.7925,0.383,0.5164
Sports_Fan,46,569,221,66,348,0.77,0.3884,0.5164
Soccer,55,521,207,47,314,0.815,0.3973,0.5342
Picnic,24,163,65,22,98,0.7471,0.3988,0.52
Voter,50,436,184,56,252,0.7667,0.422,0.5444
Soldier_Drilling,39,343,150,43,193,0.7772,0.4373,0.5597
Cheering,41,766,351,75,415,0.8239,0.4582,0.5889
Meeting,33,822,381,67,441,0.8504,0.4635,0.6
People_Marching,56,2179,1013,181,1166,0.8484,0.4649,0.6007
Ice_Skating,79,439,209,56,230,0.7887,0.4761,0.5938
Angler,40,132,65,34,67,0.6566,0.4924,0.5628
Election_Campain,33,831,414,75,417,0.8466,0.4982,0.6273
Riot,40,483,243,65,240,0.789,0.5031,0.6144
Row_Boat,43,159,81,25,78,0.7642,0.5094,0.6113
Rescue,54,295,154,61,141,0.7163,0.522,0.6039
Raid,45,210,110,46,100,0.7051,0.5238,0.6011
Swimming,81,152,81,59,71,0.5786,0.5329,0.5548
Handshaking,30,305,164,20,141,0.8913,0.5377,0.6708
Soldier_Firing,34,125,68,38,57,0.6415,0.544,0.5887
Ceremony,38,432,247,59,185,0.8072,0.5718,0.6694
Hockey,45,581,342,57,239,0.8571,0.5886,0.698
Car_Racing,20,100,60,14,40,0.8108,0.6,0.6897
Parachutist_Paratrooper,19,109,67,34,42,0.6634,0.6147,0.6381
Street_Battle,32,238,147,30,91,0.8305,0.6176,0.7084
Award_Ceremony,45,210,133,43,77,0.7557,0.6333,0.6891
Concerts,53,378,240,54,138,0.8163,0.6349,0.7143
Spa,21,36,23,7,13,0.7667,0.6389,0.697
Soldier_Patrol,47,185,122,61,63,0.6667,0.6595,0.663
Students_Schoolkids,50,336,226,74,110,0.7533,0.6726,0.7107
Aerobics,55,301,203,37,98,0.8458,0.6744,0.7505
Funeral,42,431,291,66,140,0.8151,0.6752,0.7386
Celebration_Or_Party,49,306,212,59,94,0.7823,0.6928,0.7348
Jockey,31,140,97,23,43,0.8083,0.6929,0.7462
Surgeons,41,107,75,16,32,0.8242,0.7009,0.7576
Group,146,2536,1799,175,737,0.9113,0.7094,0.7978
Gymnastics,65,338,240,61,98,0.7973,0.7101,0.7512
Interview,142,459,326,92,133,0.7799,0.7102,0.7434
Photographers,58,147,106,55,41,0.6584,0.7211,0.6883
people--driving--car,32,76,55,25,21,0.6875,0.7237,0.7051
Balloonist,33,124,90,27,34,0.7692,0.7258,0.7469
Sports_Coach_Trainer,58,274,200,39,74,0.8368,0.7299,0.7797
Running,26,144,106,20,38,0.8413,0.7361,0.7852
Greeting,41,173,128,37,45,0.7758,0.7399,0.7574
Tennis,35,167,128,14,39,0.9014,0.7665,0.8285
Dancing,43,213,165,33,48,0.8333,0.7746,0.8029
Couple,36,97,77,28,20,0.7333,0.7938,0.7624
Press_Conference,77,247,203,46,44,0.8153,0.8219,0.8185
Stock_Market,19,53,44,16,9,0.7333,0.8302,0.7788
Worker_Laborer,45,104,88,48,16,0.6471,0.8462,0.7333
Dresses,73,211,180,71,31,0.7171,0.8531,0.7792
Waiter_Waitress,51,120,103,36,17,0.741,0.8583,0.7954
Family_Group,58,562,505,59,57,0.8954,0.8986,0.897
