event,num_images,total_gt,tp,fp,fn,precision,recall,f1
Matador_Bullfighter,61,1064,220,179,844,0.5514,0.2068,0.3008
Basketball,131,3586,975,520,2611,0.6522,0.2719,0.3838
Traffic,19,272,87,86,185,0.5029,0.3199,0.391
Shoppers,42,273,93,126,180,0.4247,0.3407,0.378
Festival,45,1033,373,306,660,0.5493,0.3611,0.4357
Car_Accident,49,465,185,239,280,0.4363,0.3978,0.4162
Soccer,55,521,216,144,305,0.6,0.4146,0.4904
Demonstration,249,9049,3920,1996,5129,0.6626,0.4332,0.5239
Picnic,24,163,71,76,92,0.483,0.4356,0.4581
Baseball,24,105,47,41,58,0.5341,0.4476,0.487
Sports_Fan,46,569,258,155,311,0.6247,0.4534,0.5255
Parade,115,3753,1754,883,1999,0.6651,0.4674,0.549
Football,42,658,311,170,347,0.6466,0.4726,0.5461
Voter,50,436,214,146,222,0.5944,0.4908,0.5377
Soldier_Drilling,39,343,172,113,171,0.6035,0.5015,0.5478
Ice_Skating,79,439,223,152,216,0.5947,0.508,0.5479
Meeting,33,822,425,187,397,0.6944,0.517,0.5927
Cheering,41,766,403,233,363,0.6336,0.5261,0.5749
People_Marching,56,2179,1168,565,1011,0.674,0.536,0.5971
Angler,40,132,72,87,60,0.4528,0.5455,0.4948
Election_Campain,33,831,467,195,364,0.7054,0.562,0.6256
Row_Boat,43,159,90,80,69,0.5294,0.566,0.5471
Riot,40,483,278,189,205,0.5953,0.5756,0.5853
Raid,45,210,121,110,89,0.5238,0.5762,0.5488
Swimming,81,152,88,122,64,0.419,0.5789,0.4862
Handshaking,30,305,186,58,119,0.7623,0.6098,0.6776
Ceremony,38,432,269,170,163,0.6128,0.6227,0.6177
Rescue,54,295,185,187,110,0.4973,0.6271,0.5547
Soldier_Firing,34,125,79,98,46,0.4463,0.632,0.5232
Spa,21,36,23,14,13,0.6216,0.6389,0.6301
Hockey,45,581,373,156,208,0.7051,0.642,0.6721
Street_Battle,32,238,155,78,83,0.6652,0.6513,0.6582
Car_Racing,20,100,66,62,34,0.5156,0.66,0.5789
Concerts,53,378,253,167,125,0.6024,0.6693,0.6341
Parachutist_Paratrooper,19,109,73,70,36,0.5105,0.6697,0.5794
Award_Ceremony,45,210,142,103,68,0.5796,0.6762,0.6242
Soldier_Patrol,47,185,127,145,58,0.4669,0.6865,0.5558
Aerobics,55,301,210,96,91,0.6863,0.6977,0.6919
Students_Schoolkids,50,336,241,168,95,0.5892,0.7173,0.647
Funeral,42,431,310,154,121,0.6681,0.7193,0.6927
Celebration_Or_Party,49,306,223,158,83,0.5853,0.7288,0.6492
Gymnastics,65,338,248,136,90,0.6458,0.7337,0.687
Jockey,31,140,103,59,37,0.6358,0.7357,0.6821
Interview,142,459,343,230,116,0.5986,0.7473,0.6647
Surgeons,41,107,80,43,27,0.6504,0.7477,0.6957
Sports_Coach_Trainer,58,274,205,108,69,0.655,0.7482,0.6985
Photographers,58,147,110,148,37,0.4264,0.7483,0.5432
Group,146,2536,1922,582,614,0.7676,0.7579,0.7627
Running,26,144,111,55,33,0.6687,0.7708,0.7161
people--driving--car,32,76,59,43,17,0.5784,0.7763,0.6629
Greeting,41,173,135,107,38,0.5579,0.7803,0.6506
Tennis,35,167,133,54,34,0.7112,0.7964,0.7514
Dancing,43,213,173,85,40,0.6705,0.8122,0.7346
Couple,36,97,79,60,18,0.5683,0.8144,0.6695
Balloonist,33,124,103,69,21,0.5988,0.8306,0.6959
Press_Conference,77,247,207,134,40,0.607,0.8381,0.7041
Stock_Market,19,53,45,39,8,0.5357,0.8491,0.6569
Waiter_Waitress,51,120,105,69,15,0.6034,0.875,0.7143
Dresses,73,211,185,158,26,0.5394,0.8768,0.6679
Worker_Laborer,45,104,92,112,12,0.451,0.8846,0.5974
Family_Group,58,562,508,195,54,0.7226,0.9039,0.8032
