event,num_images,total_gt,tp,fp,fn,precision,recall,f1
Matador_Bullfighter,61,1064,240,262,824,0.4781,0.2256,0.3065
Basketball,131,3586,1018,790,2568,0.5631,0.2839,0.3775
Traffic,19,272,87,122,185,0.4163,0.3199,0.3617
Shoppers,42,273,99,192,174,0.3402,0.3626,0.3511
Festival,45,1033,396,478,637,0.4531,0.3833,0.4153
Car_Accident,49,465,188,323,277,0.3679,0.4043,0.3852
Soccer,55,521,218,222,303,0.4955,0.4184,0.4537
Demonstration,249,9049,4097,2722,4952,0.6008,0.4528,0.5164
Picnic,24,163,76,115,87,0.3979,0.4663,0.4294
Baseball,24,105,49,64,56,0.4336,0.4667,0.4495
Football,42,658,316,235,342,0.5735,0.4802,0.5227
Sports_Fan,46,569,275,244,294,0.5299,0.4833,0.5055
Parade,115,3753,1832,1220,1921,0.6003,0.4881,0.5384
Voter,50,436,216,222,220,0.4932,0.4954,0.4943
Soldier_Drilling,39,343,174,158,169,0.5241,0.5073,0.5156
Ice_Skating,79,439,228,242,211,0.4851,0.5194,0.5017
Meeting,33,822,444,264,378,0.6271,0.5401,0.5804
Cheering,41,766,414,330,352,0.5565,0.5405,0.5483
Angler,40,132,73,124,59,0.3706,0.553,0.4438
People_Marching,56,2179,1219,764,960,0.6147,0.5594,0.5858
Row_Boat,43,159,92,112,67,0.451,0.5786,0.5069
Election_Campain,33,831,481,283,350,0.6296,0.5788,0.6031
Swimming,81,152,89,210,63,0.2977,0.5855,0.3947
Raid,45,210,123,157,87,0.4393,0.5857,0.502
Riot,40,483,288,270,195,0.5161,0.5963,0.5533
Handshaking,30,305,190,104,115,0.6463,0.623,0.6344
Ceremony,38,432,273,242,159,0.5301,0.6319,0.5766
Rescue,54,295,188,286,107,0.3966,0.6373,0.4889
Spa,21,36,23,29,13,0.4423,0.6389,0.5227
Soldier_Firing,34,125,81,134,44,0.3767,0.648,0.4765
Hockey,45,581,383,215,198,0.6405,0.6592,0.6497
Street_Battle,32,238,158,128,80,0.5524,0.6639,0.6031
Car_Racing,20,100,67,94,33,0.4161,0.67,0.5134
Concerts,53,378,257,273,121,0.4849,0.6799,0.5661
Award_Ceremony,45,210,144,177,66,0.4486,0.6857,0.5424
Parachutist_Paratrooper,19,109,75,114,34,0.3968,0.6881,0.5034
Soldier_Patrol,47,185,128,232,57,0.3556,0.6919,0.4697
Aerobics,55,301,217,156,84,0.5818,0.7209,0.6439
Jockey,31,140,102,94,38,0.5204,0.7286,0.6071
Funeral,42,431,318,245,113,0.5648,0.7378,0.6398
Gymnastics,65,338,250,229,88,0.5219,0.7396,0.612
Celebration_Or_Party,49,306,227,244,79,0.482,0.7418,0.5843
Students_Schoolkids,50,336,251,236,85,0.5154,0.747,0.61
Surgeons,41,107,80,88,27,0.4762,0.7477,0.5818
Interview,142,459,345,418,114,0.4522,0.7516,0.5646
Photographers,58,147,112,217,35,0.3404,0.7619,0.4706
Sports_Coach_Trainer,58,274,210,192,64,0.5224,0.7664,0.6213
Group,146,2536,1960,867,576,0.6933,0.7729,0.7309
Running,26,144,112,103,32,0.5209,0.7778,0.624
Greeting,41,173,137,168,36,0.4492,0.7919,0.5732
Couple,36,97,79,107,18,0.4247,0.8144,0.5583
Tennis,35,167,136,85,31,0.6154,0.8144,0.701
people--driving--car,32,76,62,74,14,0.4559,0.8158,0.5849
Balloonist,33,124,103,103,21,0.5,0.8306,0.6242
Dancing,43,213,178,152,35,0.5394,0.8357,0.6556
Stock_Market,19,53,45,71,8,0.3879,0.8491,0.5325
Press_Conference,77,247,211,249,36,0.4587,0.8543,0.5969
Worker_Laborer,45,104,91,179,13,0.337,0.875,0.4866
Waiter_Waitress,51,120,106,128,14,0.453,0.8833,0.5989
Dresses,73,211,187,285,24,0.3962,0.8863,0.5476
Family_Group,58,562,514,326,48,0.6119,0.9146,0.7332
