event,num_images,total_gt,tp,fp,fn,precision,recall,f1
Matador_Bullfighter,61,1064,217,8,847,0.9644,0.2039,0.3367
Festival,45,1033,235,11,798,0.9553,0.2275,0.3675
Basketball,131,3586,1027,52,2559,0.9518,0.2864,0.4403
Baseball,24,105,32,2,73,0.9412,0.3048,0.4604
Traffic,19,272,88,3,184,0.967,0.3235,0.4848
Shoppers,42,273,108,7,165,0.9391,0.3956,0.5567
Car_Accident,49,465,190,11,275,0.9453,0.4086,0.5706
Sports_Fan,46,569,233,13,336,0.9472,0.4095,0.5718
Demonstration,249,9049,3708,253,5341,0.9361,0.4098,0.57
Parade,115,3753,1595,73,2158,0.9562,0.425,0.5885
Soccer,55,521,228,11,293,0.954,0.4376,0.6
Football,42,658,296,16,362,0.9487,0.4498,0.6103
People_Marching,56,2179,1055,58,1124,0.9479,0.4842,0.6409
Picnic,24,163,82,2,81,0.9762,0.5031,0.664
Cheering,41,766,386,34,380,0.919,0.5039,0.6509
Meeting,33,822,428,23,394,0.949,0.5207,0.6724
Election_Campain,33,831,440,30,391,0.9362,0.5295,0.6764
Ice_Skating,79,439,234,4,205,0.9832,0.533,0.6913
Soldier_Drilling,39,343,185,5,158,0.9737,0.5394,0.6942
Row_Boat,43,159,86,4,73,0.9556,0.5409,0.6908
Voter,50,436,237,13,199,0.948,0.5436,0.691
Riot,40,483,281,27,202,0.9123,0.5818,0.7105
Angler,40,132,77,3,55,0.9625,0.5833,0.7264
Rescue,54,295,178,14,117,0.9271,0.6034,0.731
Car_Racing,20,100,63,0,37,1.0,0.63,0.773
Ceremony,38,432,281,11,151,0.9623,0.6505,0.7762
Handshaking,30,305,201,10,104,0.9526,0.659,0.7791
Parachutist_Paratrooper,19,109,74,8,35,0.9024,0.6789,0.7749
Award_Ceremony,45,210,143,2,67,0.9862,0.681,0.8056
Hockey,45,581,400,17,181,0.9592,0.6885,0.8016
Raid,45,210,147,7,63,0.9545,0.7,0.8077
Funeral,42,431,307,10,124,0.9685,0.7123,0.8209
Concerts,53,378,270,7,108,0.9747,0.7143,0.8244
Soldier_Firing,34,125,91,2,34,0.9785,0.728,0.8349
Street_Battle,32,238,174,2,64,0.9886,0.7311,0.8406
Jockey,31,140,103,3,37,0.9717,0.7357,0.8374
Swimming,81,152,112,4,40,0.9655,0.7368,0.8358
Celebration_Or_Party,49,306,229,7,77,0.9703,0.7484,0.845
Running,26,144,110,7,34,0.9402,0.7639,0.8429
Tennis,35,167,130,0,37,1.0,0.7784,0.8754
Soldier_Patrol,47,185,144,6,41,0.96,0.7784,0.8597
Aerobics,55,301,235,3,66,0.9874,0.7807,0.872
Group,146,2536,1986,33,550,0.9837,0.7831,0.872
Interview,142,459,360,7,99,0.9809,0.7843,0.8717
Gymnastics,65,338,269,11,69,0.9607,0.7959,0.8706
Students_Schoolkids,50,336,270,9,66,0.9677,0.8036,0.878
Sports_Coach_Trainer,58,274,226,6,48,0.9741,0.8248,0.8933
Balloonist,33,124,103,4,21,0.9626,0.8306,0.8918
Greeting,41,173,147,3,26,0.98,0.8497,0.9102
Press_Conference,77,247,210,2,37,0.9906,0.8502,0.915
Photographers,58,147,125,6,22,0.9542,0.8503,0.8993
Spa,21,36,31,1,5,0.9688,0.8611,0.9118
people--driving--car,32,76,66,4,10,0.9429,0.8684,0.9041
Dancing,43,213,189,2,24,0.9895,0.8873,0.9356
Surgeons,41,107,95,3,12,0.9694,0.8879,0.9268
Couple,36,97,87,1,10,0.9886,0.8969,0.9405
Waiter_Waitress,51,120,108,3,12,0.973,0.9,0.9351
Stock_Market,19,53,48,2,5,0.96,0.9057,0.932
Worker_Laborer,45,104,96,0,8,1.0,0.9231,0.96
Dresses,73,211,196,4,15,0.98,0.9289,0.9538
Family_Group,58,562,525,4,37,0.9924,0.9342,0.9624
