event,num_images,total_gt,tp,fp,fn,precision,recall,f1
Matador_Bullfighter,61,1064,227,10,837,0.9578,0.2133,0.349
Festival,45,1033,247,12,786,0.9537,0.2391,0.3824
Basketball,131,3586,1048,56,2538,0.9493,0.2922,0.4469
Baseball,24,105,33,2,72,0.9429,0.3143,0.4714
Traffic,19,272,90,5,182,0.9474,0.3309,0.4905
Shoppers,42,273,108,7,165,0.9391,0.3956,0.5567
Sports_Fan,46,569,235,14,334,0.9438,0.413,0.5746
Car_Accident,49,465,193,13,272,0.9369,0.4151,0.5753
Demonstration,249,9049,3777,268,5272,0.9337,0.4174,0.5769
Parade,115,3753,1624,76,2129,0.9553,0.4327,0.5956
Soccer,55,521,230,10,291,0.9583,0.4415,0.6045
Football,42,658,303,18,355,0.9439,0.4605,0.619
People_Marching,56,2179,1083,62,1096,0.9459,0.497,0.6516
Picnic,24,163,82,2,81,0.9762,0.5031,0.664
Cheering,41,766,393,36,373,0.9161,0.5131,0.6577
Meeting,33,822,434,25,388,0.9455,0.528,0.6776
Election_Campain,33,831,445,31,386,0.9349,0.5355,0.6809
Ice_Skating,79,439,236,4,203,0.9833,0.5376,0.6951
Soldier_Drilling,39,343,185,6,158,0.9686,0.5394,0.6929
Voter,50,436,240,14,196,0.9449,0.5505,0.6957
Row_Boat,43,159,88,4,71,0.9565,0.5535,0.7012
Angler,40,132,77,3,55,0.9625,0.5833,0.7264
Riot,40,483,287,26,196,0.9169,0.5942,0.7211
Rescue,54,295,178,14,117,0.9271,0.6034,0.731
Car_Racing,20,100,63,0,37,1.0,0.63,0.773
Ceremony,38,432,284,11,148,0.9627,0.6574,0.7813
Handshaking,30,305,203,9,102,0.9575,0.6656,0.7853
Award_Ceremony,45,210,144,2,66,0.9863,0.6857,0.809
Hockey,45,581,405,17,176,0.9597,0.6971,0.8076
Parachutist_Paratrooper,19,109,76,9,33,0.8941,0.6972,0.7835
Raid,45,210,150,7,60,0.9554,0.7143,0.8174
Funeral,42,431,309,10,122,0.9687,0.7169,0.824
Concerts,53,378,273,7,105,0.975,0.7222,0.8298
Street_Battle,32,238,175,3,63,0.9831,0.7353,0.8413
Jockey,31,140,103,3,37,0.9717,0.7357,0.8374
Soldier_Firing,34,125,92,3,33,0.9684,0.736,0.8364
Celebration_Or_Party,49,306,229,8,77,0.9662,0.7484,0.8435
Swimming,81,152,114,8,38,0.9344,0.75,0.8321
Running,26,144,110,8,34,0.9322,0.7639,0.8397
Soldier_Patrol,47,185,145,6,40,0.9603,0.7838,0.8631
Group,146,2536,1997,37,539,0.9818,0.7875,0.874
Tennis,35,167,132,0,35,1.0,0.7904,0.8829
Aerobics,55,301,238,2,63,0.9917,0.7907,0.8799
Interview,142,459,364,8,95,0.9785,0.793,0.8761
Gymnastics,65,338,270,11,68,0.9609,0.7988,0.8724
Students_Schoolkids,50,336,272,11,64,0.9611,0.8095,0.8788
Sports_Coach_Trainer,58,274,226,6,48,0.9741,0.8248,0.8933
Balloonist,33,124,104,4,20,0.963,0.8387,0.8966
Press_Conference,77,247,210,4,37,0.9813,0.8502,0.9111
Photographers,58,147,125,6,22,0.9542,0.8503,0.8993
Greeting,41,173,148,4,25,0.9737,0.8555,0.9108
Spa,21,36,31,1,5,0.9688,0.8611,0.9118
people--driving--car,32,76,67,5,9,0.9306,0.8816,0.9054
Surgeons,41,107,95,3,12,0.9694,0.8879,0.9268
Dancing,43,213,190,4,23,0.9794,0.892,0.9337
Couple,36,97,87,1,10,0.9886,0.8969,0.9405
Waiter_Waitress,51,120,108,3,12,0.973,0.9,0.9351
Stock_Market,19,53,48,2,5,0.96,0.9057,0.932
Dresses,73,211,196,4,15,0.98,0.9289,0.9538
Worker_Laborer,45,104,97,0,7,1.0,0.9327,0.9652
Family_Group,58,562,527,3,35,0.9943,0.9377,0.9652
