event,num_images,total_gt,tp,fp,fn,precision,recall,f1
Matador_Bullfighter,61,1064,446,36,618,0.9253,0.4192,0.577
Traffic,19,272,138,14,134,0.9079,0.5074,0.6509
Basketball,131,3586,1876,179,1710,0.9129,0.5231,0.6651
Baseball,24,105,57,5,48,0.9194,0.5429,0.6826
Shoppers,42,273,150,19,123,0.8876,0.5495,0.6787
Soccer,55,521,298,21,223,0.9342,0.572,0.7095
Car_Accident,49,465,270,20,195,0.931,0.5806,0.7152
Sports_Fan,46,569,343,48,226,0.8772,0.6028,0.7146
Demonstration,249,9049,5702,578,3347,0.908,0.6301,0.7439
Festival,45,1033,663,99,370,0.8701,0.6418,0.7387
Picnic,24,163,110,16,53,0.873,0.6748,0.7612
Election_Campain,33,831,568,66,263,0.8959,0.6835,0.7754
Soldier_Drilling,39,343,235,9,108,0.9631,0.6851,0.8007
Ice_Skating,79,439,305,18,134,0.9443,0.6948,0.8005
Parade,115,3753,2637,235,1116,0.9182,0.7026,0.7961
Voter,50,436,322,41,114,0.8871,0.7385,0.806
Cheering,41,766,569,51,197,0.9177,0.7428,0.8211
Ceremony,38,432,321,25,111,0.9277,0.7431,0.8252
People_Marching,56,2179,1654,165,525,0.9093,0.7591,0.8274
Row_Boat,43,159,121,10,38,0.9237,0.761,0.8345
Meeting,33,822,640,49,182,0.9289,0.7786,0.8471
Raid,45,210,164,12,46,0.9318,0.781,0.8497
Riot,40,483,383,64,100,0.8568,0.793,0.8237
Street_Battle,32,238,189,13,49,0.9356,0.7941,0.8591
Football,42,658,523,37,135,0.9339,0.7948,0.8588
Award_Ceremony,45,210,167,9,43,0.9489,0.7952,0.8653
Rescue,54,295,236,31,59,0.8839,0.8,0.8399
Angler,40,132,107,7,25,0.9386,0.8106,0.8699
Jockey,31,140,114,7,26,0.9421,0.8143,0.8736
Car_Racing,20,100,82,3,18,0.9647,0.82,0.8865
Soldier_Firing,34,125,103,7,22,0.9364,0.824,0.8766
Parachutist_Paratrooper,19,109,90,17,19,0.8411,0.8257,0.8333
Hockey,45,581,480,33,101,0.9357,0.8262,0.8775
Funeral,42,431,357,29,74,0.9249,0.8283,0.8739
Gymnastics,65,338,283,27,55,0.9129,0.8373,0.8735
Concerts,53,378,317,25,61,0.9269,0.8386,0.8806
Swimming,81,152,129,11,23,0.9214,0.8487,0.8836
Running,26,144,124,16,20,0.8857,0.8611,0.8732
Interview,142,459,396,19,63,0.9542,0.8627,0.9062
Handshaking,30,305,265,20,40,0.9298,0.8689,0.8983
Celebration_Or_Party,49,306,268,24,38,0.9178,0.8758,0.8963
Soldier_Patrol,47,185,163,12,22,0.9314,0.8811,0.9056
Greeting,41,173,154,10,19,0.939,0.8902,0.9139
Aerobics,55,301,268,6,33,0.9781,0.8904,0.9322
Photographers,58,147,131,12,16,0.9161,0.8912,0.9034
Balloonist,33,124,111,9,13,0.925,0.8952,0.9098
Sports_Coach_Trainer,58,274,249,18,25,0.9326,0.9088,0.9205
Surgeons,41,107,98,5,9,0.9515,0.9159,0.9333
Group,146,2536,2324,87,212,0.9639,0.9164,0.9396
Spa,21,36,33,0,3,1.0,0.9167,0.9565
Couple,36,97,89,1,8,0.9889,0.9175,0.9519
Dancing,43,213,196,6,17,0.9703,0.9202,0.9446
Students_Schoolkids,50,336,310,26,26,0.9226,0.9226,0.9226
Stock_Market,19,53,49,3,4,0.9423,0.9245,0.9333
Waiter_Waitress,51,120,111,7,9,0.9407,0.925,0.9328
people--driving--car,32,76,72,7,4,0.9114,0.9474,0.929
Dresses,73,211,200,21,11,0.905,0.9479,0.9259
Tennis,35,167,159,4,8,0.9755,0.9521,0.9636
Press_Conference,77,247,237,8,10,0.9673,0.9595,0.9634
Worker_Laborer,45,104,100,6,4,0.9434,0.9615,0.9524
Family_Group,58,562,545,11,17,0.9802,0.9698,0.975
